Model;Ablasyon;Head;Tune;Fold Sayısı;Ort. Başarı ± SS (%);Ort. F1 Skor ± SS (%)
DenseNet121;RANDBG;Standard;Standard;4;99.98 ± 0.02;99.98 ± 0.02
ResNet50;RANDBG;Standard;Standard;5;99.97 ± 0.04;99.97 ± 0.04
VGG16;RANDBG;Standard;Standard;5;99.96 ± 0.03;99.96 ± 0.03
DenseNet121;INDOOR;Standard;Standard;5;99.96 ± 0.03;99.96 ± 0.03
DenseNet121;FULL;Standard;Standard;5;99.96 ± 0.04;99.96 ± 0.04
VGG16;INDOOR;Standard;Standard;5;99.96 ± 0.02;99.96 ± 0.02
ResNet50;RANDBG;Standard;Progressive;5;99.96 ± 0.02;99.96 ± 0.02
ResNet50;INDOOR;Standard;Standard;5;99.93 ± 0.05;99.93 ± 0.05
ResNet50;GAN;Standard;Standard;5;99.93 ± 0.04;99.93 ± 0.04
ResNet50;FULL;Standard;Standard;5;99.93 ± 0.06;99.93 ± 0.06
VGG16;FULL;Standard;Standard;5;99.93 ± 0.07;99.93 ± 0.07
ResNet50;FULL;Standard;Progressive;5;99.92 ± 0.01;99.92 ± 0.01
ResNet50;GAN;Standard;Progressive;5;99.91 ± 0.02;99.91 ± 0.02
ResNet50;INDOOR;Standard;Progressive;5;99.91 ± 0.01;99.91 ± 0.01
VGG16;GAN;Standard;Standard;5;99.91 ± 0.06;99.91 ± 0.06
VGG16;RANDBG;Standard;Progressive;5;99.89 ± 0.03;99.88 ± 0.03
EfficientNetV2B0;INDOOR;Standard;Standard;5;99.88 ± 0.05;99.88 ± 0.05
ResNet50;REMBG_ONLY;Standard;Standard;5;99.87 ± 0.04;99.87 ± 0.04
EfficientNetV2B0;RANDBG;Standard;Standard;4;99.87 ± 0.03;99.87 ± 0.03
VGG16;FULL;Standard;Progressive;5;99.87 ± 0.03;99.87 ± 0.03
DenseNet121;GAN;Standard;Standard;5;99.86 ± 0.05;99.86 ± 0.05
VGG16;INDOOR;Standard;Progressive;5;99.86 ± 0.03;99.86 ± 0.03
DenseNet121;REMBG_ONLY;Standard;Standard;5;99.86 ± 0.04;99.86 ± 0.04
VGG16;GAN;Standard;Progressive;5;99.85 ± 0.02;99.85 ± 0.02
EfficientNetV2B0;GAN;Standard;Standard;5;99.85 ± 0.05;99.85 ± 0.05
ResNet50;NO_SHIFT;Standard;Standard;5;99.85 ± 0.02;99.85 ± 0.02
VGG16;REMBG_ONLY;Standard;Standard;5;99.84 ± 0.03;99.84 ± 0.03
VGG16;NO_ALPHA;Standard;Standard;5;99.84 ± 0.03;99.84 ± 0.03
EfficientNetV2B0;FULL;Standard;Standard;5;99.83 ± 0.05;99.83 ± 0.05
VGG16;RATIO_1X;Standard;Standard;5;99.82 ± 0.05;99.82 ± 0.05
VGG16;NO_SHIFT;Standard;Standard;5;99.82 ± 0.04;99.82 ± 0.04
DenseNet121;RANDBG;Standard;Progressive;5;99.82 ± 0.04;99.82 ± 0.04
ResNet50;STYLE_TRANSFER;Standard;Standard;5;99.81 ± 0.06;99.81 ± 0.06
ResNet50;RATIO_1X;Standard;Standard;5;99.81 ± 0.06;99.81 ± 0.06
VGG16;STYLE_TRANSFER;Standard;Standard;5;99.80 ± 0.06;99.80 ± 0.06
DenseNet121;INDOOR;Standard;Progressive;5;99.80 ± 0.01;99.80 ± 0.01
DenseNet121;NO_ALPHA;Standard;Standard;5;99.80 ± 0.07;99.80 ± 0.07
ResNet50;NO_ALPHA;Standard;Standard;5;99.80 ± 0.03;99.80 ± 0.03
DenseNet121;FULL;Standard;Progressive;5;99.78 ± 0.02;99.78 ± 0.02
DenseNet121;RATIO_1X;Standard;Standard;5;99.77 ± 0.07;99.77 ± 0.07
DenseNet121;GAN;Standard;Progressive;5;99.76 ± 0.02;99.76 ± 0.02
EfficientNetV2B0;FULL;Attention;Standard;5;99.74 ± 0.03;99.74 ± 0.03
DenseNet121;NO_SHIFT;Standard;Standard;5;99.73 ± 0.06;99.73 ± 0.06
DenseNet121;STYLE_TRANSFER;Standard;Standard;5;99.66 ± 0.08;99.66 ± 0.08
MobileNetV3Small;RANDBG;Standard;Standard;5;98.68 ± 0.03;98.68 ± 0.03
MobileNetV3Small;INDOOR;Standard;Standard;5;98.66 ± 0.14;98.66 ± 0.14
MobileNetV3Small;GAN;Standard;Standard;5;98.36 ± 0.05;98.36 ± 0.05
MobileNetV3Small;FULL;Standard;Standard;5;98.35 ± 0.05;98.35 ± 0.05
EfficientNetV2B0;RATIO_1X;Standard;Standard;5;98.26 ± 3.30;98.26 ± 3.31
EfficientNetV2B0;NO_ALPHA;Standard;Standard;5;98.25 ± 3.32;98.24 ± 3.35
EfficientNetV2B0;FULL;Spatial Pooling;Unknown;5;96.15 ± 2.05;96.14 ± 2.05
EfficientNetV2B0;STYLE_TRANSFER;Standard;Standard;5;95.42 ± 3.93;95.40 ± 3.94
EfficientNetV2B0;NO_SHIFT;Standard;Standard;5;95.20 ± 4.20;95.20 ± 4.20
MobileNetV3Small;REMBG_ONLY;Standard;Standard;5;94.85 ± 7.70;94.82 ± 7.78
EfficientNetV2B0;REMBG_ONLY;Standard;Standard;5;94.72 ± 2.87;94.70 ± 2.88
EfficientNetV2B0;FULL;Attention;Progressive;5;93.33 ± 0.56;93.32 ± 0.56
EfficientNetV2B0;FULL;Standard;Progressive;5;93.21 ± 0.31;93.19 ± 0.30
EfficientNetV2B0;RANDBG;Standard;Progressive;5;93.12 ± 0.40;93.11 ± 0.40
EfficientNetV2B0;INDOOR;Standard;Progressive;5;93.05 ± 0.33;93.03 ± 0.32
EfficientNetV2B0;GAN;Standard;Progressive;5;92.90 ± 0.28;92.87 ± 0.29
MobileNetV3Small;STYLE_TRANSFER;Standard;Standard;5;91.64 ± 9.04;91.56 ± 9.16
MobileNetV3Small;NO_ALPHA;Standard;Standard;5;91.56 ± 9.02;91.51 ± 9.09
MobileNetV3Small;RATIO_1X;Standard;Standard;5;88.48 ± 8.83;88.39 ± 8.92
MobileNetV3Small;NO_SHIFT;Standard;Standard;5;88.47 ± 8.90;88.39 ± 8.98
MobileNetV3Small;GAN;Standard;Progressive;5;82.93 ± 0.41;82.85 ± 0.40
MobileNetV3Small;FULL;Standard;Progressive;5;82.86 ± 0.70;82.74 ± 0.71
MobileNetV3Small;INDOOR;Standard;Progressive;5;82.68 ± 0.62;82.57 ± 0.64
MobileNetV3Small;RANDBG;Standard;Progressive;5;82.63 ± 0.78;82.51 ± 0.75
DenseNet121;NO_SYNTH;Standard;Standard;5;56.70 ± 4.59;51.23 ± 3.03
ResNet50;NO_SYNTH;Standard;Standard;5;52.79 ± 5.99;47.08 ± 5.44
VGG16;NO_SYNTH;Standard;Standard;5;45.70 ± 5.25;40.11 ± 7.36
EfficientNetV2B0;NO_SYNTH;Standard;Standard;5;43.10 ± 6.81;39.86 ± 6.60
MobileNetV3Small;NO_SYNTH;Standard;Standard;5;41.81 ± 4.94;36.74 ± 4.60
