Model;Ablasyon;Head;Tune;Rock (F1);Paper (F1);Scissors (F1);None/Bg (F1)
DenseNet121;STYLE_TRANSFER;Standard;Standard;0.8873;0.9147;0.9039;0.8547
DenseNet121;NO_ALPHA;Standard;Progressive;0.8848;0.9273;0.9117;0.8357
DenseNet121;STYLE_TRANSFER;Standard;Standard;0.8832;0.9315;0.9018;0.8357
DenseNet121;GAN;Standard;Progressive;0.8647;0.9352;0.9143;0.8310
DenseNet121;NO_ALPHA;Standard;Standard;0.8913;0.9161;0.8929;0.8380
DenseNet121;GAN;Standard;Standard;0.8873;0.9161;0.8936;0.8403
ResNet50;NO_ALPHA;Standard;Standard;0.8731;0.9195;0.8953;0.8403
ResNet50;GAN;Standard;Standard;0.8824;0.8911;0.8826;0.8721
DenseNet121;STYLE_TRANSFER;Standard;Standard;0.8881;0.9155;0.8945;0.8242
DenseNet121;NO_ALPHA;Standard;Standard;0.8782;0.9129;0.8968;0.8310
DenseNet121;STYLE_TRANSFER;Standard;Progressive;0.8614;0.9231;0.9053;0.8287
DenseNet121;NO_ALPHA;Standard;Standard;0.8824;0.9172;0.8849;0.8333
DenseNet121;STYLE_TRANSFER;Standard;Standard;0.8593;0.9236;0.9039;0.8310
DenseNet121;RATIO_1X;Standard;Standard;0.8699;0.8973;0.8982;0.8475
DenseNet121;NO_ALPHA;Standard;Progressive;0.8397;0.9343;0.9181;0.8152
DenseNet121;NO_SHIFT;Standard;Progressive;0.8441;0.9315;0.9137;0.8174
DenseNet121;NO_SHIFT;Standard;Standard;0.8736;0.9161;0.8809;0.8333
DenseNet121;STYLE_TRANSFER;Standard;Standard;0.8759;0.9041;0.8905;0.8333
DenseNet121;FULL;Standard;Standard;0.8741;0.9236;0.8873;0.8174
ResNet50;STYLE_TRANSFER;Standard;Standard;0.8741;0.8949;0.8921;0.8403
DenseNet121;NO_ALPHA;Standard;Progressive;0.8417;0.9310;0.9149;0.8130
DenseNet121;NO_SHIFT;Standard;Progressive;0.8417;0.9247;0.9085;0.8219
DenseNet121;GAN;Standard;Progressive;0.8462;0.9306;0.9110;0.8086
DenseNet121;GAN;Standard;Progressive;0.8417;0.9172;0.9155;0.8174
DenseNet121;RATIO_1X;Standard;Progressive;0.8352;0.9273;0.9117;0.8174
DenseNet121;INDOOR;Standard;Standard;0.8507;0.9172;0.8929;0.8287
DenseNet121;NO_SHIFT;Standard;Standard;0.8519;0.9141;0.8921;0.8310
DenseNet121;RANDBG;Standard;Progressive;0.8473;0.9204;0.8975;0.8197
ResNet50;NO_ALPHA;Standard;Standard;0.8614;0.9017;0.8881;0.8310
DenseNet121;RATIO_1X;Standard;Standard;0.8613;0.9028;0.8841;0.8287
DenseNet121;NO_SHIFT;Standard;Standard;0.8593;0.9021;0.8953;0.8174
DenseNet121;STYLE_TRANSFER;Standard;Progressive;0.8249;0.9310;0.9110;0.8065
DenseNet121;RATIO_1X;Standard;Standard;0.8506;0.9010;0.9032;0.8174
ResNet50;NO_SHIFT;Standard;Standard;0.8496;0.9178;0.8777;0.8242
DenseNet121;INDOOR;Standard;Standard;0.8593;0.9014;0.8921;0.8152
DenseNet121;FULL;Standard;Standard;0.8308;0.9241;0.9000;0.8108
DenseNet121;RANDBG;Standard;Standard;0.8464;0.9210;0.8768;0.8197
DenseNet121;NO_SHIFT;Standard;Standard;0.8777;0.8953;0.8800;0.8108
DenseNet121;RANDBG;Standard;Standard;0.8727;0.9000;0.8800;0.8108
DenseNet121;STYLE_TRANSFER;Standard;Progressive;0.8372;0.9193;0.9046;0.8021
DenseNet121;GAN;Standard;Standard;0.8464;0.9028;0.8921;0.8174
DenseNet121;INDOOR;Standard;Progressive;0.8189;0.9343;0.9104;0.7937
DenseNet121;NO_SHIFT;Standard;Progressive;0.8203;0.9204;0.9053;0.8108
DenseNet121;NO_SHIFT;Standard;Progressive;0.8078;0.9278;0.9117;0.8086
ResNet50;GAN;Standard;Standard;0.8496;0.8986;0.8832;0.8242
DenseNet121;RATIO_1X;Standard;Standard;0.8519;0.9071;0.8857;0.8108
DenseNet121;RANDBG;Standard;Progressive;0.8295;0.9225;0.8951;0.8065
DenseNet121;GAN;Standard;Standard;0.8550;0.9071;0.8913;0.8000
DenseNet121;RATIO_1X;Standard;Progressive;0.8110;0.9306;0.9117;0.8000
ResNet50;FULL;Standard;Standard;0.8321;0.9116;0.8978;0.8108
DenseNet121;FULL;Standard;Standard;0.8340;0.9204;0.8986;0.7979
DenseNet121;RANDBG;Standard;Progressive;0.8235;0.9268;0.9007;0.7979
ResNet50;RANDBG;Standard;Standard;0.8473;0.9059;0.8889;0.8065
DenseNet121;FULL;Standard;Progressive;0.8281;0.9199;0.8975;0.8021
DenseNet121;FULL;Standard;Progressive;0.8157;0.9273;0.9039;0.8000
DenseNet121;REMBG_ONLY;Standard;Progressive;0.8281;0.9296;0.8968;0.7916
DenseNet121;NO_ALPHA;Standard;Standard;0.8645;0.8993;0.8736;0.8065
DenseNet121;NO_SHIFT;Standard;Standard;0.8645;0.8968;0.8759;0.8065
DenseNet121;STYLE_TRANSFER;Standard;Progressive;0.7968;0.9347;0.9117;0.8000
DenseNet121;GAN;Standard;Standard;0.8365;0.8912;0.8951;0.8197
DenseNet121;NO_ALPHA;Standard;Progressive;0.8171;0.9193;0.9046;0.8000
ResNet50;STYLE_TRANSFER;Standard;Standard;0.8385;0.9034;0.8857;0.8108
DenseNet121;NO_ALPHA;Standard;Progressive;0.8031;0.9241;0.9110;0.8000
DenseNet121;NO_ALPHA;Standard;Standard;0.8507;0.8968;0.8849;0.8043
VGG16;GAN;Standard;Standard;0.8162;0.9241;0.8782;0.8174
DenseNet121;RATIO_1X;Standard;Progressive;0.8110;0.9236;0.9039;0.7958
DenseNet121;RATIO_1X;Standard;Progressive;0.8203;0.9117;0.8990;0.8021
DenseNet121;REMBG_ONLY;Standard;Standard;0.8249;0.9225;0.8961;0.7895
ResNet50;INDOOR;Standard;Standard;0.8263;0.9060;0.8809;0.8197
ResNet50;NO_SHIFT;Standard;Standard;0.8385;0.9053;0.8803;0.8086
DenseNet121;RANDBG;Standard;Progressive;0.8063;0.9199;0.9085;0.7979
ResNet50;NO_ALPHA;Standard;Standard;0.8409;0.8997;0.8809;0.8108
DenseNet121;INDOOR;Standard;Standard;0.8593;0.9032;0.8750;0.7916
DenseNet121;RATIO_1X;Standard;Progressive;0.8000;0.9375;0.9039;0.7874
ResNet50;RANDBG;Standard;Standard;0.8409;0.8982;0.8786;0.8086
DenseNet121;RANDBG;Standard;Progressive;0.8048;0.9204;0.9046;0.7958
ResNet50;GAN;Standard;Standard;0.8441;0.8975;0.8849;0.7979
DenseNet121;GAN;Standard;Progressive;0.7952;0.9375;0.9104;0.7812
ResNet50;RATIO_1X;Standard;Standard;0.8409;0.8889;0.8786;0.8152
ResNet50;RANDBG;Standard;Standard;0.8441;0.8944;0.8849;0.8000
ResNet50;RATIO_1X;Standard;Standard;0.8397;0.9039;0.8849;0.7916
DenseNet121;FULL;Standard;Progressive;0.8095;0.9306;0.8986;0.7812
ResNet50;RATIO_1X;Standard;Progressive;0.8235;0.9103;0.8978;0.7874
ResNet50;NO_SHIFT;Standard;Progressive;0.8327;0.9028;0.8913;0.7916
ResNet50;INDOOR;Standard;Standard;0.8263;0.8918;0.8750;0.8242
DenseNet121;GAN;Standard;Standard;0.8157;0.9053;0.9039;0.7916
DenseNet121;GAN;Standard;Progressive;0.7920;0.9343;0.9065;0.7833
DenseNet121;FULL;Standard;Standard;0.8199;0.9097;0.8905;0.7958
DenseNet121;REMBG_ONLY;Standard;Standard;0.8453;0.9065;0.8791;0.7812
ResNet50;STYLE_TRANSFER;Standard;Standard;0.8171;0.8919;0.8826;0.8197
ResNet50;RANDBG;Standard;Standard;0.8340;0.8920;0.8881;0.7958
ResNet50;NO_ALPHA;Standard;Standard;0.8409;0.8750;0.8662;0.8242
DenseNet121;REMBG_ONLY;Standard;Progressive;0.7724;0.9412;0.9110;0.7812
ResNet50;RATIO_1X;Standard;Progressive;0.8235;0.8990;0.8953;0.7874
ResNet50;RATIO_1X;Standard;Standard;0.8346;0.8921;0.8817;0.7958
DenseNet121;REMBG_ONLY;Standard;Progressive;0.7854;0.9366;0.9046;0.7772
DenseNet121;RATIO_1X;Standard;Standard;0.8213;0.9014;0.8841;0.7958
ResNet50;NO_SHIFT;Standard;Progressive;0.7937;0.9215;0.9011;0.7853
DenseNet121;INDOOR;Standard;Progressive;0.7968;0.9193;0.8975;0.7874
DenseNet121;INDOOR;Standard;Progressive;0.7903;0.9236;0.9007;0.7853
ResNet50;NO_SHIFT;Standard;Standard;0.8171;0.9034;0.8809;0.7979
DenseNet121;FULL;Standard;Standard;0.8093;0.9123;0.8913;0.7853
ResNet50;GAN;Standard;Progressive;0.8189;0.8966;0.8913;0.7895
ResNet50;NO_SHIFT;Standard;Standard;0.8031;0.9103;0.8913;0.7895
MobileNetV3Small;STYLE_TRANSFER;Standard;Standard;0.8759;0.8601;0.8333;0.8242
DenseNet121;REMBG_ONLY;Standard;Standard;0.8244;0.9117;0.8718;0.7853
MobileNetV3Small;GAN;Standard;Standard;0.8993;0.8448;0.8227;0.8264
DenseNet121;RANDBG;Standard;Standard;0.8258;0.9046;0.8750;0.7874
ResNet50;NO_ALPHA;Standard;Progressive;0.8063;0.9141;0.8930;0.7792
ResNet50;STYLE_TRANSFER;Standard;Progressive;0.8203;0.8912;0.8826;0.7937
ResNet50;STYLE_TRANSFER;Standard;Standard;0.7791;0.9049;0.8945;0.8086
ResNet50;GAN;Standard;Standard;0.8308;0.8681;0.8702;0.8174
DenseNet121;NO_SHIFT;Standard;Progressive;0.7755;0.9273;0.9039;0.7792
DenseNet121;REMBG_ONLY;Standard;Standard;0.8321;0.9025;0.8759;0.7752
ResNet50;INDOOR;Standard;Standard;0.8093;0.8973;0.8832;0.7958
ResNet50;FULL;Standard;Standard;0.8093;0.9021;0.8809;0.7895
ResNet50;RATIO_1X;Standard;Progressive;0.8235;0.8811;0.8913;0.7833
ResNet50;STYLE_TRANSFER;Standard;Standard;0.7968;0.8904;0.8723;0.8197
ResNet50;RATIO_1X;Standard;Progressive;0.7968;0.9059;0.8986;0.7772
ResNet50;RATIO_1X;Standard;Progressive;0.8063;0.8997;0.8873;0.7833
ResNet50;STYLE_TRANSFER;Standard;Progressive;0.8031;0.8997;0.8873;0.7853
ResNet50;STYLE_TRANSFER;Standard;Progressive;0.8016;0.9059;0.8938;0.7732
DenseNet121;FULL;Standard;Progressive;0.7654;0.9306;0.9071;0.7712
DenseNet121;RANDBG;Standard;Standard;0.8171;0.8982;0.8791;0.7792
ResNet50;REMBG_ONLY;Standard;Standard;0.8063;0.9028;0.8800;0.7812
DenseNet121;REMBG_ONLY;Standard;Progressive;0.7623;0.9404;0.9000;0.7673
ResNet50;FULL;Standard;Standard;0.7871;0.9097;0.8953;0.7772
ResNet50;RATIO_1X;Standard;Standard;0.7937;0.8896;0.8800;0.8021
EfficientNetV2B0;GAN;Standard;Standard;0.8031;0.9231;0.8731;0.7653
MobileNetV3Small;GAN;Standard;Standard;0.9032;0.8269;0.8014;0.8310
ResNet50;GAN;Standard;Progressive;0.8110;0.8767;0.8832;0.7895
ResNet50;FULL;Standard;Standard;0.8231;0.8844;0.8614;0.7916
ResNet50;REMBG_ONLY;Standard;Standard;0.8000;0.8866;0.8714;0.8021
ResNet50;NO_SHIFT;Standard;Progressive;0.8000;0.8866;0.8849;0.7874
ResNet50;REMBG_ONLY;Standard;Standard;0.8000;0.9085;0.8727;0.7772
ResNet50;INDOOR;Standard;Standard;0.8154;0.8817;0.8746;0.7853
ResNet50;NO_ALPHA;Standard;Progressive;0.7854;0.8997;0.8986;0.7732
ResNet50;RATIO_1X;Standard;Standard;0.7742;0.9078;0.8913;0.7833
EfficientNetV2B0;GAN;Standard;Standard;0.8263;0.8881;0.8679;0.7692
ResNet50;STYLE_TRANSFER;Standard;Progressive;0.7952;0.8958;0.8873;0.7732
ResNet50;GAN;Standard;Progressive;0.7968;0.9014;0.8864;0.7653
ResNet50;STYLE_TRANSFER;Standard;Progressive;0.7952;0.8920;0.8849;0.7772
ResNet50;INDOOR;Standard;Progressive;0.8063;0.8789;0.8800;0.7833
MobileNetV3Small;NO_ALPHA;Standard;Standard;0.8993;0.8339;0.8014;0.8130
MobileNetV3Small;GAN;Standard;Standard;0.8953;0.8127;0.8014;0.8380
DenseNet121;INDOOR;Standard;Standard;0.7826;0.9053;0.8777;0.7812
MobileNetV3Small;RATIO_1X;Standard;Standard;0.8881;0.8351;0.8104;0.8130
ResNet50;REMBG_ONLY;Standard;Standard;0.7905;0.9039;0.8809;0.7712
EfficientNetV2B0;FULL;Attention;Standard;0.7903;0.9072;0.8815;0.7673
ResNet50;FULL;Standard;Standard;0.7791;0.9066;0.8809;0.7792
ResNet50;REMBG_ONLY;Standard;Progressive;0.7871;0.9085;0.8856;0.7576
ResNet50;INDOOR;Standard;Standard;0.7809;0.9117;0.8856;0.7595
VGG16;STYLE_TRANSFER;Standard;Standard;0.8137;0.8800;0.8718;0.7712
MobileNetV3Small;NO_ALPHA;Standard;Standard;0.8913;0.8387;0.7985;0.8065
ResNet50;NO_ALPHA;Standard;Standard;0.7791;0.9039;0.8881;0.7634
ResNet50;NO_SHIFT;Standard;Progressive;0.7871;0.8889;0.8809;0.7772
ResNet50;REMBG_ONLY;Standard;Progressive;0.7871;0.8975;0.8841;0.7653
ResNet50;RANDBG;Standard;Progressive;0.7823;0.8982;0.8873;0.7653
ResNet50;NO_SHIFT;Standard;Standard;0.7760;0.8951;0.8817;0.7792
ResNet50;GAN;Standard;Progressive;0.7871;0.8982;0.8824;0.7614
