Model;Ablasyon;Head;Tune;İç Veri: Mean Acc;Dış Veri: Zero-Shot Acc;Generalization Gap
EfficientNetV2B0;NO_SYNTH;Standard;Standard;43.10%;63.50%;20.40%
MobileNetV3Small;NO_SYNTH;Standard;Standard;41.81%;58.00%;16.19%
VGG16;NO_SYNTH;Standard;Standard;45.70%;55.33%;9.64%
ResNet50;NO_SYNTH;Standard;Standard;52.79%;62.17%;9.38%
DenseNet121;NO_SYNTH;Standard;Standard;56.70%;64.17%;7.47%
MobileNetV3Small;RATIO_1X;Standard;Standard;88.48%;83.00%;-5.48%
MobileNetV3Small;NO_SHIFT;Standard;Standard;88.47%;81.00%;-7.47%
MobileNetV3Small;FULL;Standard;Progressive;82.86%;73.83%;-9.03%
MobileNetV3Small;RANDBG;Standard;Progressive;82.63%;73.00%;-9.63%
MobileNetV3Small;NO_ALPHA;Standard;Standard;91.56%;81.50%;-10.06%
MobileNetV3Small;STYLE_TRANSFER;Standard;Standard;91.64%;81.00%;-10.64%
MobileNetV3Small;GAN;Standard;Progressive;82.93%;71.67%;-11.26%
DenseNet121;STYLE_TRANSFER;Standard;Standard;99.66%;87.67%;-12.00%
DenseNet121;NO_SHIFT;Standard;Standard;99.73%;87.33%;-12.39%
ResNet50;STYLE_TRANSFER;Standard;Standard;99.81%;87.33%;-12.48%
MobileNetV3Small;REMBG_ONLY;Standard;Standard;94.85%;82.17%;-12.69%
DenseNet121;RANDBG;Standard;Progressive;99.82%;86.83%;-12.98%
MobileNetV3Small;INDOOR;Standard;Progressive;82.68%;69.33%;-13.34%
ResNet50;NO_SHIFT;Standard;Standard;99.85%;86.50%;-13.35%
EfficientNetV2B0;STYLE_TRANSFER;Standard;Standard;95.42%;82.00%;-13.42%
DenseNet121;FULL;Standard;Standard;99.96%;86.33%;-13.63%
DenseNet121;GAN;Standard;Standard;99.86%;85.83%;-14.03%
DenseNet121;NO_ALPHA;Standard;Standard;99.80%;85.67%;-14.13%
ResNet50;RANDBG;Standard;Standard;99.97%;85.83%;-14.14%
EfficientNetV2B0;NO_SHIFT;Standard;Standard;95.20%;81.00%;-14.20%
VGG16;GAN;Standard;Standard;99.91%;85.67%;-14.24%
MobileNetV3Small;GAN;Standard;Standard;98.36%;84.00%;-14.36%
ResNet50;RATIO_1X;Standard;Standard;99.81%;85.33%;-14.48%
DenseNet121;GAN;Standard;Progressive;99.76%;85.00%;-14.76%
DenseNet121;FULL;Standard;Progressive;99.78%;85.00%;-14.78%
EfficientNetV2B0;REMBG_ONLY;Standard;Standard;94.72%;79.67%;-15.06%
DenseNet121;RATIO_1X;Standard;Standard;99.77%;84.67%;-15.10%
DenseNet121;INDOOR;Standard;Progressive;99.80%;84.67%;-15.14%
ResNet50;GAN;Standard;Standard;99.93%;84.50%;-15.43%
ResNet50;INDOOR;Standard;Standard;99.93%;84.33%;-15.60%
DenseNet121;RANDBG;Standard;Standard;99.98%;84.33%;-15.65%
ResNet50;FULL;Standard;Standard;99.93%;83.83%;-16.10%
MobileNetV3Small;INDOOR;Standard;Standard;98.66%;82.33%;-16.33%
EfficientNetV2B0;GAN;Standard;Standard;99.85%;83.50%;-16.35%
ResNet50;REMBG_ONLY;Standard;Standard;99.87%;83.50%;-16.37%
DenseNet121;INDOOR;Standard;Standard;99.96%;83.33%;-16.63%
