Model;Ablasyon;Head;Tune;Macro Precision;Macro Recall;Weighted Precision;Weighted Recall
DenseNet121;NO_ALPHA;Standard;Progressive;91.29%;88.67%;91.29%;88.67%
DenseNet121;GAN;Standard;Progressive;91.12%;88.33%;91.12%;88.33%
DenseNet121;STYLE_TRANSFER;Standard;Standard;91.08%;88.50%;91.08%;88.50%
DenseNet121;STYLE_TRANSFER;Standard;Standard;90.72%;88.83%;90.72%;88.83%
DenseNet121;GAN;Standard;Progressive;90.67%;87.00%;90.67%;87.00%
DenseNet121;NO_ALPHA;Standard;Progressive;90.66%;87.17%;90.66%;87.17%
DenseNet121;NO_ALPHA;Standard;Progressive;90.65%;87.33%;90.65%;87.33%
DenseNet121;STYLE_TRANSFER;Standard;Standard;90.59%;87.67%;90.59%;87.67%
DenseNet121;NO_SHIFT;Standard;Progressive;90.59%;87.33%;90.59%;87.33%
DenseNet121;NO_ALPHA;Standard;Standard;90.55%;88.17%;90.55%;88.17%
DenseNet121;GAN;Standard;Standard;90.46%;88.17%;90.46%;88.17%
ResNet50;NO_ALPHA;Standard;Standard;90.46%;88.00%;90.46%;88.00%
DenseNet121;STYLE_TRANSFER;Standard;Progressive;90.41%;87.67%;90.41%;87.67%
DenseNet121;FULL;Standard;Standard;90.36%;87.17%;90.36%;87.17%
DenseNet121;INDOOR;Standard;Progressive;90.34%;86.00%;90.34%;86.00%
DenseNet121;NO_ALPHA;Standard;Standard;90.31%;87.67%;90.31%;87.67%
DenseNet121;GAN;Standard;Progressive;90.28%;87.00%;90.28%;87.00%
DenseNet121;NO_SHIFT;Standard;Progressive;90.28%;87.17%;90.28%;87.17%
DenseNet121;STYLE_TRANSFER;Standard;Standard;90.27%;87.67%;90.27%;87.67%
DenseNet121;NO_ALPHA;Standard;Standard;90.22%;87.67%;90.22%;87.67%
DenseNet121;STYLE_TRANSFER;Standard;Progressive;90.19%;86.50%;90.19%;86.50%
DenseNet121;RATIO_1X;Standard;Progressive;90.18%;87.00%;90.18%;87.00%
DenseNet121;GAN;Standard;Progressive;90.09%;85.17%;90.09%;85.17%
DenseNet121;STYLE_TRANSFER;Standard;Progressive;90.06%;86.17%;90.06%;86.17%
DenseNet121;REMBG_ONLY;Standard;Progressive;90.05%;85.67%;90.05%;85.67%
DenseNet121;RATIO_1X;Standard;Progressive;89.95%;86.00%;89.95%;86.00%
DenseNet121;RANDBG;Standard;Progressive;89.93%;86.83%;89.93%;86.83%
DenseNet121;RATIO_1X;Standard;Progressive;89.93%;85.33%;89.93%;85.33%
DenseNet121;RANDBG;Standard;Progressive;89.92%;85.83%;89.92%;85.83%
DenseNet121;FULL;Standard;Progressive;89.90%;85.00%;89.90%;85.00%
DenseNet121;FULL;Standard;Standard;89.89%;85.83%;89.89%;85.83%
DenseNet121;STYLE_TRANSFER;Standard;Standard;89.89%;87.33%;89.89%;87.33%
DenseNet121;STYLE_TRANSFER;Standard;Progressive;89.78%;85.83%;89.78%;85.83%
DenseNet121;RATIO_1X;Standard;Standard;89.78%;86.50%;89.78%;86.50%
DenseNet121;NO_SHIFT;Standard;Standard;89.77%;87.33%;89.77%;87.33%
DenseNet121;FULL;Standard;Progressive;89.77%;85.83%;89.77%;85.83%
DenseNet121;REMBG_ONLY;Standard;Progressive;89.76%;84.67%;89.76%;84.67%
DenseNet121;FULL;Standard;Standard;89.75%;86.33%;89.75%;86.33%
DenseNet121;REMBG_ONLY;Standard;Standard;89.74%;85.33%;89.74%;85.33%
DenseNet121;GAN;Standard;Progressive;89.73%;85.00%;89.73%;85.00%
DenseNet121;RATIO_1X;Standard;Standard;89.73%;87.67%;89.73%;87.67%
DenseNet121;FULL;Standard;Progressive;89.70%;85.83%;89.70%;85.83%
ResNet50;STYLE_TRANSFER;Standard;Standard;89.68%;87.33%;89.68%;87.33%
DenseNet121;NO_SHIFT;Standard;Progressive;89.68%;86.17%;89.68%;86.17%
DenseNet121;GAN;Standard;Standard;89.65%;85.83%;89.65%;85.83%
