family,model,ablation_a,ablation_b,head,tune,mean_a,mean_b,delta,wilcoxon_stat,wilcoxon_p_raw,t_stat,t_p_raw,shapiro_p_diff,cohen_d_uncorrected,hedges_g,cliffs_delta,n_pairs,p_raw,p_bh_fdr,sig_q05,model_a,model_b,ablation,mean_standard,mean_progressive,head_a,head_b,mean_standard_head,mean_other_head
A_synth_vs_no_synth,DenseNet121,FULL,NO_SYNTH,standard,standard,0.9996167113836719,0.5669860738469401,0.4326306375367318,0.0,0.0625,21.091069844018467,2.9872802507271375e-05,0.8518094730645964,9.432213177884236,7.545770542307389,1.0,5,2.9872802507271375e-05,6.500773952689408e-05,True,,,,,,,,,
A_synth_vs_no_synth,DenseNet121,INDOOR,NO_SYNTH,standard,standard,0.9996422639580939,0.5669860738469401,0.43265619011115375,0.0,0.0625,21.148129530345052,2.9554072632998732e-05,0.8636521134134625,9.457731045364447,7.5661848362915585,1.0,5,2.9554072632998732e-05,6.500773952689408e-05,True,,,,,,,,,
A_synth_vs_no_synth,DenseNet121,GAN,NO_SYNTH,standard,standard,0.9986457135556408,0.5669860738469401,0.4316596397087007,0.0,0.0625,20.9430167108179,3.0720048333729215e-05,0.8416862896270123,9.366001803860577,7.492801443088462,1.0,5,3.0720048333729215e-05,6.500773952689408e-05,True,,,,,,,,,
A_synth_vs_no_synth,DenseNet121,STYLE_TRANSFER,NO_SYNTH,standard,standard,0.9966270601763128,0.5669860738469401,0.42964098632937264,0.0,0.0625,21.26704922886182,2.8903326129633676e-05,0.85598089473024,9.510913551313903,7.608730841051123,1.0,5,2.8903326129633676e-05,6.500773952689408e-05,True,,,,,,,,,
A_synth_vs_no_synth,DenseNet121,REMBG_ONLY,NO_SYNTH,standard,standard,0.998569055832375,0.5669860738469401,0.4315829819854349,0.0,0.0625,20.885901566008865,3.105489791249931e-05,0.8645780090158128,9.340459134593027,7.472367307674422,1.0,5,3.105489791249931e-05,6.500773952689408e-05,True,,,,,,,,,
A_synth_vs_no_synth,DenseNet121,NO_ALPHA,NO_SYNTH,standard,standard,0.9980068991950939,0.5669860738469401,0.4310208253481538,0.0,0.0625,21.11874269911967,2.97176916424515e-05,0.8525940898950296,9.444588854911794,7.555671083929436,1.0,5,2.97176916424515e-05,6.500773952689408e-05,True,,,,,,,,,
A_synth_vs_no_synth,DenseNet121,NO_SHIFT,NO_SYNTH,standard,standard,0.9972658745368597,0.5669860738469401,0.43027980068991956,0.0,0.0625,20.909608643679725,3.091535991371225e-05,0.8761784723432253,9.351061262037009,7.480849009629607,1.0,5,3.091535991371225e-05,6.500773952689408e-05,True,,,,,,,,,
A_synth_vs_no_synth,DenseNet121,RATIO_1X,NO_SYNTH,standard,standard,0.9977002683020315,0.5669860738469401,0.4307141944550914,0.0,0.0625,20.77009027290763,3.1747965815459895e-05,0.8518315232636617,9.288666749805724,7.43093339984458,1.0,5,3.1747965815459895e-05,6.500773952689408e-05,True,,,,,,,,,
A_synth_vs_no_synth,EfficientNetV2B0,FULL,NO_SYNTH,standard,standard,0.9982879775137345,0.43096972019931,0.5673182573144245,0.0,0.0625,18.557380558877423,4.962764111921698e-05,0.12619148781700734,8.299112882796592,6.639290306237275,1.0,5,4.962764111921698e-05,7.912446909354839e-05,True,,,,,,,,,
A_synth_vs_no_synth,EfficientNetV2B0,INDOOR,NO_SYNTH,standard,standard,0.9988245815765937,0.43096972019931,0.5678548613772837,0.0,0.0625,18.607885146449135,4.9096138701413906e-05,0.125834237637435,8.321699220993779,6.657359376795023,1.0,5,4.9096138701413906e-05,7.912446909354839e-05,True,,,,,,,,,
