config,n_folds,n_folds_complete,acc_mean,acc_std,acc_median,acc_iqr_lo,acc_iqr_hi,acc_ci95_lo,acc_ci95_hi,macro_f1_mean,macro_f1_std,model,ablation,head,tune
DenseNet121|FULL|standard|progressive,5,True,0.9978024785997188,0.00022854917362961422,0.99795579404625,0.9977002683020314,0.99795579404625,0.9975980580043441,0.99795579404625,0.9978011091631258,0.00022827854117690282,DenseNet121,FULL,standard,progressive
DenseNet121|FULL|standard|standard,5,True,0.9996167113836719,0.000361367973009515,0.9997444742557812,0.9997444742557812,0.9997444742557812,0.9992845279161877,0.9998211319790469,0.9996164275664896,0.00036210727203329755,DenseNet121,FULL,standard,standard
DenseNet121|GAN|standard|progressive,5,True,0.9976236105787658,0.000249055687870413,0.9977002683020314,0.9977002683020314,0.9977002683020314,0.9973936374089689,0.997776926025297,0.9976214288457811,0.0002495712630881289,DenseNet121,GAN,standard,progressive
DenseNet121|GAN|standard|standard,5,True,0.9986457135556408,0.000523671944088835,0.9988501341510158,0.9980835569183596,0.9991056598952344,0.9982368723648909,0.9990545547463906,0.9986450532102928,0.0005240652436906298,DenseNet121,GAN,standard,standard
DenseNet121|INDOOR|standard|progressive,5,True,0.9980324517695157,0.00011427458681492503,0.99795579404625,0.99795579404625,0.9980835569183596,0.99795579404625,0.9981346620672031,0.9980322049802449,0.00011446800654923201,DenseNet121,INDOOR,standard,progressive
DenseNet121|INDOOR|standard|standard,5,True,0.9996422639580939,0.0003428237604446137,0.9998722371278906,0.9994889485115626,0.9998722371278906,0.9993356330650313,0.9998722371278908,0.9996421285980531,0.00034370921213705053,DenseNet121,INDOOR,standard,standard
DenseNet121|NO_ALPHA|standard|standard,5,True,0.9980068991950939,0.0006974495497103241,0.9980835569183596,0.997572505429922,0.998594608406797,0.9974702951322346,0.9985435032579533,0.9980061212810293,0.0006966976483940389,DenseNet121,NO_ALPHA,standard,standard
DenseNet121|NO_SHIFT|standard|standard,5,True,0.9972658745368597,0.0006426358165304531,0.9969336910693752,0.996805928197266,0.9978280311741408,0.9967803756228439,0.9977769260252971,0.9972654200307633,0.0006427762501080963,DenseNet121,NO_SHIFT,standard,standard
DenseNet121|NO_SYNTH|standard|standard,5,True,0.5669860738469401,0.045867529470596365,0.5613900600485499,0.5562795451641753,0.5799156765044078,0.5312891273795834,0.6040021719688249,0.5123110436948812,0.030309436643775736,DenseNet121,NO_SYNTH,standard,standard
DenseNet121|RANDBG|standard|progressive,5,True,0.9981602146416251,0.00038962439458228106,0.9982113197904688,0.9978280311741408,0.9984668455346876,0.9978535837485627,0.9984668455346876,0.9981591477717056,0.000388798839224444,DenseNet121,RANDBG,standard,progressive
DenseNet121|RANDBG|standard|standard,4,False,0.9998083556918359,0.00016494115864769835,0.9998083556918359,0.9997125335377539,0.999904177845918,0.9996805928197265,0.9999361185639453,0.9998083518961389,0.00016505353809447931,DenseNet121,RANDBG,standard,standard
DenseNet121|RATIO_1X|standard|standard,5,True,0.9977002683020315,0.0007283604350959085,0.9974447425578128,0.997189216813594,0.9983390826625782,0.9971381116647503,0.9982624249393126,0.9977007529667228,0.0007286810101513061,DenseNet121,RATIO_1X,standard,standard
DenseNet121|REMBG_ONLY|standard|standard,5,True,0.998569055832375,0.0003768463320239153,0.9987223712789064,0.9984668455346876,0.9988501341510158,0.9982368723648907,0.9988245815765939,0.9985689094947787,0.00037687414270572557,DenseNet121,REMBG_ONLY,standard,standard
DenseNet121|STYLE_TRANSFER|standard|standard,5,True,0.9966270601763128,0.0008309499190753783,0.9964226395809378,0.9961671138367192,0.996805928197266,0.9960649035390317,0.9973425322601251,0.9966283117910304,0.0008303726572763536,DenseNet121,STYLE_TRANSFER,standard,standard
EfficientNetV2B0|FULL|attention|progressive,5,True,0.9332822281844896,0.005550999063860614,0.932796729270474,0.931391337677271,0.9377794812827392,0.9292193688514118,0.9373450875175674,0.9331830551117516,0.005569483496297568,EfficientNetV2B0,FULL,attention,progressive
EfficientNetV2B0|FULL|attention|standard,5,True,0.9974191899833909,0.0003307059947756396,0.9973169796857032,0.997189216813594,0.9977002683020314,0.997163664239172,0.9976747157276094,0.9974188335098682,0.0003305862019496625,EfficientNetV2B0,FULL,attention,standard
EfficientNetV2B0|FULL|spatial_pooling|standard,5,True,0.9614667177718156,0.020489635769513886,0.9511945828542224,0.9510668199821132,0.9568161492270346,0.9508368468123163,0.9801456496742047,0.9614156133817566,0.02051858117972044,EfficientNetV2B0,FULL,spatial_pooling,standard
